Date,Adj Close,Volume,Day_Perc_Change,Name
4/9/2019,7909.279785,2067570000,-0.560733864,NASDAQ
4/10/2019,7964.240234,1998280000,0.694885634,NASDAQ
4/11/2019,7947.359863,1956840000,-0.211952057,NASDAQ
4/12/2019,7984.160156,1955290000,0.463050543,NASDAQ
4/15/2019,7976.009766,1816920000,-0.102081995,NASDAQ
4/16/2019,8000.22998,2095330000,0.303663294,NASDAQ
4/17/2019,7996.080078,2290690000,-0.051872284,NASDAQ
4/18/2019,7998.060059,2089360000,0.024761896,NASDAQ
4/22/2019,8015.27002,1776060000,0.215176691,NASDAQ
4/23/2019,8120.819824,2075070000,1.316858992,NASDAQ
4/24/2019,8102.009766,2022490000,-0.231627575,NASDAQ
4/25/2019,8118.680176,2063270000,0.205756479,NASDAQ
4/26/2019,8146.399902,1971270000,0.341431432,NASDAQ
4/29/2019,8161.850098,1761110000,0.189656734,NASDAQ
4/30/2019,8095.390137,2115770000,-0.814275688,NASDAQ
5/1/2019,8049.640137,2247420000,-0.565136445,NASDAQ
5/2/2019,8036.77002,2158600000,-0.159884377,NASDAQ
5/3/2019,8164,2046040000,1.58309843,NASDAQ
5/6/2019,8123.290039,1966120000,-0.498652144,NASDAQ
5/7/2019,7963.759766,2376660000,-1.963862822,NASDAQ
5/8/2019,7943.319824,2175100000,-0.256661961,NASDAQ
5/9/2019,7910.589844,2520770000,-0.412044091,NASDAQ
5/10/2019,7916.939941,2387720000,0.080273369,NASDAQ
5/13/2019,7647.02002,2478860000,-3.409397103,NASDAQ
5/14/2019,7734.490234,2084850000,1.143847064,NASDAQ
5/15/2019,7822.149902,2001530000,1.13336064,NASDAQ
5/16/2019,7898.049805,2163120000,0.970320231,NASDAQ
5/17/2019,7816.279785,2134120000,-1.035319123,NASDAQ
5/20/2019,7702.379883,2122410000,-1.457213727,NASDAQ
5/21/2019,7785.720215,1993210000,1.082007552,NASDAQ
5/22/2019,7750.839844,1881830000,-0.448004424,NASDAQ
5/23/2019,7628.279785,2243420000,-1.581248761,NASDAQ
5/24/2019,7637.009766,1682920000,0.114442328,NASDAQ
5/28/2019,7607.350098,2352670000,-0.388367554,NASDAQ
5/29/2019,7547.310059,2278790000,-0.789237228,NASDAQ
5/30/2019,7567.720215,1872000000,0.270429542,NASDAQ
5/31/2019,7453.149902,2236940000,-1.513934312,NASDAQ
6/3/2019,7333.02002,2576920000,-1.611800159,NASDAQ
6/4/2019,7527.120117,2369150000,2.646932594,NASDAQ
6/5/2019,7575.47998,2115570000,0.642474974,NASDAQ
6/6/2019,7615.549805,2070940000,0.528941072,NASDAQ
6/7/2019,7742.100098,2066020000,1.661735479,NASDAQ
6/10/2019,7823.169922,2049370000,1.047129629,NASDAQ
6/11/2019,7822.569824,2114680000,-0.007670778,NASDAQ
6/12/2019,7792.720215,1952790000,-0.381583158,NASDAQ
6/13/2019,7837.129883,1838930000,0.569886596,NASDAQ
6/14/2019,7796.660156,1804340000,-0.516384539,NASDAQ
6/17/2019,7845.02002,1935290000,0.620263844,NASDAQ
6/18/2019,7953.879883,2244920000,1.387630149,NASDAQ
6/19/2019,7987.319824,2014080000,0.420423007,NASDAQ
6/20/2019,8051.339844,2053530000,0.801520678,NASDAQ
6/21/2019,8031.709961,2894340000,-0.243808899,NASDAQ
6/24/2019,8005.700195,2070370000,-0.323838462,NASDAQ
6/25/2019,7884.720215,2127310000,-1.511173002,NASDAQ
6/26/2019,7909.970215,2104750000,0.320239645,NASDAQ
6/27/2019,7967.759766,2023120000,0.730591259,NASDAQ
6/28/2019,8006.240234,4078990000,0.482952161,NASDAQ
7/1/2019,8091.160156,2208900000,1.06067167,NASDAQ
7/2/2019,8109.089844,1946320000,0.221596009,NASDAQ
7/3/2019,8170.22998,1548190000,0.753970386,NASDAQ
7/5/2019,8161.790039,149410000,-0.103301144,NASDAQ
7/8/2019,8098.379883,177320000,-0.776914815,NASDAQ
7/9/2019,8141.72998,1866770000,0.535293449,NASDAQ
7/10/2019,8202.530273,2060510000,0.746773636,NASDAQ
7/11/2019,8196.040039,1966970000,-0.07912478,NASDAQ
7/12/2019,8244.139648,1824870000,0.586864007,NASDAQ
7/15/2019,8258.19043,1783980000,0.170433576,NASDAQ
7/16/2019,8222.799805,1933960000,-0.428551815,NASDAQ
7/17/2019,8185.209961,1846960000,-0.457141666,NASDAQ
7/18/2019,8207.240234,2016310000,0.269147317,NASDAQ
7/19/2019,8146.490234,1878730000,-0.740200095,NASDAQ
7/22/2019,8204.139648,1845770000,0.707659524,NASDAQ
7/23/2019,8251.400391,1832220000,0.576059709,NASDAQ
7/24/2019,8321.5,1947550000,0.849548024,NASDAQ
7/25/2019,8238.540039,2023130000,-0.99693518,NASDAQ
7/26/2019,8330.209961,1954350000,1.112696201,NASDAQ
7/29/2019,8293.330078,1874780000,-0.442724531,NASDAQ
7/30/2019,8273.610352,1884300000,-0.23777814,NASDAQ
7/31/2019,8175.419922,2667060000,-1.186790601,NASDAQ
8/1/2019,8111.120117,2792650000,-0.786501557,NASDAQ
8/2/2019,8004.069824,2252550000,-1.319796667,NASDAQ
8/5/2019,7726.040039,2636740000,-3.473605192,NASDAQ
8/6/2019,7833.27002,2201610000,1.387903511,NASDAQ
8/7/2019,7862.830078,2453230000,0.377365493,NASDAQ
8/8/2019,8039.160156,2415670000,2.242577752,NASDAQ
8/9/2019,7959.140137,2224330000,-0.995377844,NASDAQ
8/12/2019,7863.410156,2056360000,-1.202767879,NASDAQ
8/13/2019,8016.359863,2346980000,1.945081128,NASDAQ
8/14/2019,7773.939941,2522870000,-3.024064864,NASDAQ
8/15/2019,7766.620117,2182590000,-0.094158484,NASDAQ
8/16/2019,7895.990234,1995130000,1.665719644,NASDAQ
8/19/2019,8002.810059,1934980000,1.352836336,NASDAQ
8/20/2019,7948.560059,1747580000,-0.677886887,NASDAQ
8/21/2019,8020.209961,1716370000,0.901419898,NASDAQ
8/22/2019,7991.390137,1777630000,-0.359340019,NASDAQ
8/23/2019,7751.77002,2207070000,-2.998478524,NASDAQ
8/26/2019,7853.740234,1688860000,1.315444263,NASDAQ
8/27/2019,7826.950195,1913760000,-0.341111855,NASDAQ
8/28/2019,7856.879883,1656930000,0.382392723,NASDAQ
8/29/2019,7973.390137,1700840000,1.48290741,NASDAQ
8/30/2019,7962.879883,1665840000,-0.131816628,NASDAQ
9/3/2019,7874.160156,1936210000,-1.114166336,NASDAQ
9/4/2019,7976.879883,1891300000,1.304516608,NASDAQ
